,long,lat
Abetxuko,526229.0,4746740.0
Albaina,530036.2,4726455.9
Alegria,526831,4743846
Altube,504911,4777009
Antoñana,549459.661216074,4726940.580294826
Arkauti,529822.1625788546,4744376.615356175
Beluntza,"577381,961","4776858,592"
Egino,559959.6,4747472.9
Espejo,496184.5,4739562.8
Etura,541574.2137570507,4748910.407466177
Gardea,502599.42950762704,4775458.289522546
Gasteiz,526744.1401249646,4744207.5022374075
Gorbea,517825.84630958235,4764604.795071243
Herrera,586198,4796838.2
Ilarduia,558297.24,4747064.04
Iturrieta,553612.0771256549,4738073.595420313
Kanpezu,551483.2895242097,4726904.2547264
Kapildui,541439.3623699995,4728291.54485236
Moreda,548647.8208100669,4708572.14691536
Navarrete,527355.5950134282,4756438.549657624
Ozaeta,541374.7,4751070.6
Páganos,532448.1,4711876.9
Pagoeta,564941.8,4788888.1
Roitegi,"551450,071","4736770,775"
Salvatierra,549909.7,4744246.2
Saratxo,499026.8,4763313.5
Sarria,514362.4,4757066.5
Subijana,508491,4742065.5
Tobillas,489570.5502843663,4774395.240780802
Trebiño,520691.9,4731387.8
Zaldiaran,"522263,4","4737654,4"
Zambrana,"509925,6","4723251,7"
Abusu (La Peña),507010575,4788083082
Amorebieta,"521659,3","4784910,2"
Aranguren,619727.3473360196,4738441.655448253
Arboleda,495605.4044553689,4792434.927905416
Areta,"504585,3","4776918,5"
Arteaga,528177,"4801746,8"
Balmaseda,484336.99324844277,4782580.1643052315
Bermeo,522491.2797373218,4807538.705318977
Berna,527088.5400423092,4781227.898403817
Berriatua,"543207,1","4795347,7"
Cerroja,466703.93625436345,4784427.919220178
Derio,"509261,4",4793211
Deusto,"504395,5","4791046,8"
Eitzaga,564700.8633931802,4793805.988373722
Elorrio,"537188,5","4775414,4"
Galdakao,"512518,8","4786429,7"
Galindo,"499188,9","4794562,1"
Igorre,"518019,5","4779069,3"
Iruzubieta,538436.3803736622,4789008.364966349
Iurreta,"529935,6","4780622,9"
La Garbea,484379.8187911194,4785030.634363834
Mañaria,"527672,8","4776325,4"
Matxitxako,"520024,1",4811281
Mungia,"512380,8","4800218,7"
Muxika,"525219,307","4792824,178"
Oiz,"533294,3","4786283,8"
Oleta,"529862,2","4766432,5"
Ordunte,"483896,4","4748741,8"
Orduña,"496961,952","4758787,549"
Orozko,"507232,4","4772879,8"
Otxandio,"528237,4","4765438,4"
Punta Galea,"497299,6","4802274,7"
Sangroniz,515940.59917340573,4782777.002534453
Sodupe,496375452,4783079321
Untzueta,"507690,1","4665016,2"
Urkiola,527118,"4773824,5"
Urkizu,572539.0816555495,4776103.686826615
Venta Alta,508141.6527066195,4784862.085913911
Agauntza,567024839,4762918092
Aitzu,581691.8319705576,4777995.452520151
Aixola,"539788,9",4778915
Aizarnazabal,561976.6148609055,4789460.156297018
Alegia,573542.1805167382,4772316.034038889
Altzola,547580.6728264404,4784879.3971668985
Ameraun,"586232,8","4776321,2"
Amundarain,569141.6196324623,4765323.103739175
Andoain,579595,4785527
Añarbe,"588770,9","4779223,1"
Araxes,"585634,9",4764528
Arrasate,541593.6470471835,4768326.169219565
Behobia,"600326,6","4799655,5"
Belauntza,"577240,8","4776244,2"
Berastegi,"531253,3","4759035,3"
Bidania,"568446,1","4776798,1"
Ereñozu,"586126,3","4788290,8"
Eskas,592648.0654256035,4794671.000259231
Estanda,"563625,302","4766668,187"
Higer,"597504,5","4804828,9"
Ibai Eder,562755,4775815
Jaizkibel,"593315,5","4800203,2"
Lasarte,"579530,7",4791018
Matxinbenta,562861.4105436049,4769743.740003417
Miramon,"582440,3","4796482,9"
Oiartzun,"592648,1",4794671
Oñati,"547928,6","4764622,7"
Ordizia,566931.3321180505,4767161.37828856
San Prudentzio,"524359,7","4742319,2"
Santa Clara,"581172,6","4796992,1"
Urkulu,554433.9338156782,4787918.357327806
Zarautz,"404695,8","4793288,5"
Zegama,"557871,1","4758375,5"
Zizurkil,"574969,9","4783438,1"
